"latitude (UTM)", "longitude (UTM)", "total area (m*m)", "mounded area (m*m)", "total volume (m*m*m)", "volume mound (m*m*m)", "max elevation mound (m)"
4071983.8, 593611.38, 203925, 41750, 201802.5, 113632.5, 2.72
4123853.9, 593612.35, 138075, 8325, 162610, 36940, 4.44
4086895.9, 593632.4, 105575, 43250, 567350, 342075, 7.91
4060636.7, 593642.69, 137375, 18925, 88387.5, 94255, 4.98
4064532.2, 593671.6, 48600, 0, 7348.25, NA, NA
4056841.9, 593689.85, 180175, 3175, 0, 11889.25, 3.74
4110643, 593749.32, 56350, 10500, 29595, 16867.75, 1.61
4099098.3, 593857.89, 137050, 600, 0, 2502.75, 4.17
4104646.1, 593896.83, 170950, 23425, 36730, 61865, 2.64
4072353.3, 593904.95, 46850, 0, 0, NA, NA
4112594.4, 593924.29, 97825, 16400, 54657.5, 29637.5, 1.81
4057698.7, 593927.19, 108350, 0, 0, NA, NA
4071277.4, 593930.55, 40425, 0, 0, NA, NA
4074051.8, 593933.67, 97025, 2100, 11790.75, 2879.25, 1.37
4041735.9, 593940.59, 101275, 1675, 44985, 4901.75, 2.93
4106408.3, 593954.95, 8000, 0, 0, NA, NA
4113938.8, 593989.76, 430100, 215750, 4117500, 351575, 16.3
4124458.6, 594049.19, 205425, 175, 0, 657.475, 3.76
4099373.3, 594055.41, 128400, 10575, 18224.75, 37985, 3.59
4063108.3, 594069.95, 152550, 5275, 0, 10777.25, 2.04
4063120.6, 594120.06, 152550, 5350, 0, 11111.25, 2.08
4085707.3, 594138.55, 158850, 150, 0, 752.525, 5.02
4093297.5, 594145.21, 338700, 7300, 0, 84045, 11.5
4070204.7, 594146.09, 103625, 0, 0, NA, NA
4065914, 594149.57, 17575, 0, 2810.75, NA, NA
4070720.1, 594158.48, 11600, 0, 0, NA, NA
4115175.3, 594177.81, 120025, 0, 0, NA, NA
4099090.9, 594210.32, 110825, 5475, 6557.5, 27402.5, 5.01
4119220.2, 594227.12, 28075, 0, 0, NA, NA
4072223.3, 594229.95, 9600, 0, 0, NA, NA
4119865.2, 594232.36, 140625, 26250, 88050, 71247.5, 2.72
4097590.6, 594234.73, 60250, 5500, 66452.5, 13667.25, 2.48
4099929.2, 594258.07, 305000, 44250, 247570, 152882.5, 3.45
4088713.3, 594274.95, 7750, 700, 601.725, 2814.75, 4.02
4070153.3, 594304.95, 6475, 0, 2315.8, NA, NA
4020280.8, 594335.19, 222300, 88250, 508150, 397300, 4.5
4118650, 594344.59, 88275, 11400, 165047.5, 50645, 4.44
4065252.5, 594411.93, 30075, 2425, 8350.25, 3609, 1.49
4073367.6, 594444.03, 116550, 48000, 211090, 195150, 4.07
4102167, 594468.73, 153525, 19550, 129557.5, 66697.5, 3.41
4077137.1, 594494.06, 299925, 15775, 0, 58992.5, 3.74
4080813.8, 594496.08, 24850, 0, 0, NA, NA
4090686.7, 594509.03, 157075, 1850, 175395, 16241.75, 8.78
4110034.1, 594515.74, 154150, 12000, 30212.5, 21672.5, 1.81
4068441.5, 594523.21, 47150, 6525, 24632.75, 12348, 1.89
4117953.3, 594539.95, 6800, 25, 953.3, 62.5325, 2.5
4091510.9, 594540.42, 334950, 4975, 0, 47432.5, 9.53
4060765.2, 594546.57, 14825, 750, 10530, 2218.4, 2.96
4071668.3, 594579.95, 6550, 0, 0, NA, NA
4067847.5, 594635.84, 45750, 0, 0, NA, NA
4057584.6, 594653.22, 66225, 3225, 9885.75, 10666.25, 3.31
4054040.9, 594663.94, 39725, 8250, 38157.5, 15920, 1.93
4056683.1, 594677.72, 206150, 2175, 0, 6947.5, 3.19
4070086.4, 594680.63, 70500, 0, 11761.25, NA, NA
4066283.2, 594681.83, 56775, 0, 0, NA, NA
4076443.3, 594699.95, 19575, 25, 0, 74.6525, 2.99
4074660.8, 594706.98, 106325, 10225, 40190, 26560, 2.6
4112680.6, 594720.96, 65050, 4850, 74115, 13084.5, 2.7
4106513.3, 594734.95, 7125, 0, 0, NA, NA
4116399.2, 594790.31, 40525, 16150, 75480, 49545, 3.07
4063925.2, 594871.19, 35150, 25, 6152.25, 56.2125, 2.25
4088570, 594901.14, 171400, 17450, 68730, 139370, 7.99
4067172.5, 594907.9, 25875, 0, 8465.5, NA, NA
4062002.2, 594933.55, 26625, 9925, 27620, 19710.25, 1.99
4071206.8, 594942.71, 33675, 2425, 0, 7472.25, 3.08
4070276.2, 594960.47, 61950, 36000, 213850, 230885, 6.42
4075117.1, 594976.46, 114200, 10975, 66672.5, 36497.5, 3.33
4073913.4, 594980.35, 83225, 575, 4084, 1134.05, 1.97
4076776.6, 595006.82, 82775, 20050, 119457.5, 80222.5, 4
4075638.3, 595049.95, 14225, 3200, 23327.25, 7797.5, 2.44
4113190.9, 595057.31, 136200, 19975, 583100, 183090, 9.17
4112780.8, 595102.32, 58675, 575, 75325, 1862.95, 3.24
4110389.1, 595125.15, 96200, 22850, 85872.5, 44775, 1.96
4078117.5, 595165.4, 137450, 13450, 0, 58665, 4.36
4097984.8, 595184.83, 126950, 50, 63810, 191.4, 3.83
4050995.9, 595187.51, 67925, 2975, 49790, 7865.5, 2.64
4064332, 595219.71, 36475, 0, 0, NA, NA
4112267.6, 595226.13, 181550, 71250, 426775, 325150, 4.57
4069793.4, 595228.98, 308150, 103500, 594750, 611950, 5.91
4064748.3, 595229.95, 21700, 0, 2073.2, NA, NA
4058147.4, 595248.87, 81475, 9325, 124657.5, 42597.5, 4.57
4059566.4, 595255.04, 33175, 3950, 16019.75, 8228.75, 2.08
4071762, 595256.67, 55900, 425, 21569.75, 784.25, 1.85
4089390.1, 595265.5, 26325, 4425, 42075, 16121.25, 3.64
4117789.9, 595298.21, 29450, 875, 47997.5, 2966.25, 3.39
4077818.3, 595382.23, 82400, 4825, 147245, 28075, 5.82
4108187.1, 595392.13, 75575, 5100, 35815, 12497, 2.45
4117328.1, 595410.99, 238875, 57250, 399050, 253775, 4.43
4073230.2, 595428.13, 64875, 775, 53222.5, 2490.55, 3.21
4073003.8, 595431.17, 27850, 25, 4498, 52.7175, 2.11
4066692.2, 595442.1, 27000, 0, 1920.475, NA, NA
4062956.8, 595457.97, 21650, 2525, 18944, 5861.75, 2.32
4066738.3, 595484.95, 33500, 75, 2611.25, 103.6875, 1.38
4079373.3, 595484.95, 7275, 0, 326.125, NA, NA
4073654.5, 595508.67, 105750, 28000, 132512.5, 120295, 4.28
4087363.1, 595518.56, 322400, 55000, 918775, 434800, 7.92
4070921.7, 595556.58, 38850, 4800, 15071.5, 9410.25, 1.96
4096531.5, 595580.93, 170850, 8550, 0, 46982.5, 5.5
4041140.8, 595595.39, 189175, 0, 13583.75, NA, NA
4075809.9, 595610.42, 54850, 15550, 67055, 43390, 2.79
4064201.2, 595647.48, 11425, 375, 4723.25, 669.425, 1.79
4068783.2, 595656.32, 88950, 0, 68442.5, NA, NA
4088982.9, 595674.2, 23175, 1700, 23089.25, 6536.5, 3.85
4061261.7, 595679.5, 105125, 38250, 288300, 271725, 7.12
4110902.7, 595689.79, 42750, 0, 0, NA, NA
4064143.3, 595699.95, 113350, 14225, 19867.25, 22579.5, 1.59
4105526.9, 595718.99, 97625, 450, 6296, 1441.6, 3.2
4113621.4, 595729, 669350, 0, 0, NA, NA
4068419.7, 595791.69, 107075, 22425, 112165, 77720, 3.47
4075708.3, 595794.95, 1250, 0, 2721.25, NA, NA
4051218.4, 595813, 147325, 0, 76045, NA, NA
4074407.9, 595881.63, 57025, 975, 0, 1443.6, 1.48
4068005.4, 595895.33, 40250, 250, 0, 448.575, 1.79
4119058.6, 595896.1, 33975, 4975, 11826.5, 11468.5, 2.31
4117920.3, 595924.21, 254750, 82000, 871925, 587050, 7.16
4085432, 595951.63, 68900, 0, 0, NA, NA
4112829.2, 596012.21, 179475, 0, 0, NA, NA
4075348.3, 596039.95, 7700, 0, 1789.4, NA, NA
4089279.9, 596084.92, 28750, 0, 17455, NA, NA
4065757.4, 596086.29, 16250, 0, 5257.75, NA, NA
4070437.9, 596114.65, 20950, 0, 0, NA, NA
